District,Zone,Geographical Region,Development Region,Sub Group,Girs/ Boys,Numbers
Baitadi,Mahakali,Hill,Far-Western,Grade 3,Girls,5317
Baitadi,Mahakali,Hill,Far-Western,Grade 3,Boys,4857
Baitadi,Mahakali,Hill,Far-Western,Grade 4,Girls,4697
Baitadi,Mahakali,Hill,Far-Western,Grade 4,Boys,4391
Baitadi,Mahakali,Hill,Far-Western,Grade 5,Girls,4433
Baitadi,Mahakali,Hill,Far-Western,Grade 5,Boys,4321
Baitadi,Mahakali,Hill,Far-Western,Grade 1-5,Girls,31123
Baitadi,Mahakali,Hill,Far-Western,Grade 1-5,Boys,29144
Bajhang,Seti,Mountain,Far-Western,Grade 1,Girls,10041
Bajhang,Seti,Mountain,Far-Western,Grade 1,Boys,9683
Bajhang,Seti,Mountain,Far-Western,Grade 2,Girls,5402
Bajhang,Seti,Mountain,Far-Western,Grade 2,Boys,4649
Bajhang,Seti,Mountain,Far-Western,Grade 3,Girls,4776
Bajhang,Seti,Mountain,Far-Western,Grade 3,Boys,4193
Bajhang,Seti,Mountain,Far-Western,Grade 4,Girls,4089
Bajhang,Seti,Mountain,Far-Western,Grade 4,Boys,3611
Bajhang,Seti,Mountain,Far-Western,Grade 5,Girls,3487
Bajhang,Seti,Mountain,Far-Western,Grade 5,Boys,3440
Bajhang,Seti,Mountain,Far-Western,Grade 1-5,Girls,27795
Bajhang,Seti,Mountain,Far-Western,Grade 1-5,Boys,25576
Bajura,Seti,Mountain,Far-Western,Grade 1,Girls,5790
Bajura,Seti,Mountain,Far-Western,Grade 1,Boys,5521
Bajura,Seti,Mountain,Far-Western,Grade 2,Girls,3524
Bajura,Seti,Mountain,Far-Western,Grade 2,Boys,3057
Bajura,Seti,Mountain,Far-Western,Grade 3,Girls,3177
Bajura,Seti,Mountain,Far-Western,Grade 3,Boys,2800
Bajura,Seti,Mountain,Far-Western,Grade 4,Girls,2970
Bajura,Seti,Mountain,Far-Western,Grade 4,Boys,2540
Bajura,Seti,Mountain,Far-Western,Grade 5,Girls,2751
Bajura,Seti,Mountain,Far-Western,Grade 5,Boys,2337
Bajura,Seti,Mountain,Far-Western,Grade 1-5,Girls,18212
Bajura,Seti,Mountain,Far-Western,Grade 1-5,Boys,16255
Banke,Bheri,Terai,Mid-Western,Grade 1,Girls,13574
Banke,Bheri,Terai,Mid-Western,Grade 1,Boys,13835
Banke,Bheri,Terai,Mid-Western,Grade 2,Girls,9640
Banke,Bheri,Terai,Mid-Western,Grade 2,Boys,9897
Banke,Bheri,Terai,Mid-Western,Grade 3,Girls,8368
Banke,Bheri,Terai,Mid-Western,Grade 3,Boys,8677
Banke,Bheri,Terai,Mid-Western,Grade 4,Girls,6896
Banke,Bheri,Terai,Mid-Western,Grade 4,Boys,7369
Banke,Bheri,Terai,Mid-Western,Grade 5,Girls,6384
Banke,Bheri,Terai,Mid-Western,Grade 5,Boys,6847
Banke,Bheri,Terai,Mid-Western,Grade 1-5,Girls,44862
Banke,Bheri,Terai,Mid-Western,Grade 1-5,Boys,46625
Bara,Narayani,Terai,Central,Grade 1,Girls,29247
Bara,Narayani,Terai,Central,Grade 1,Boys,30358
Bara,Narayani,Terai,Central,Grade 2,Girls,17018
Bara,Narayani,Terai,Central,Grade 2,Boys,17369
Bara,Narayani,Terai,Central,Grade 3,Girls,14296
Bara,Narayani,Terai,Central,Grade 3,Boys,15480
Bara,Narayani,Terai,Central,Grade 4,Girls,11098
Bara,Narayani,Terai,Central,Grade 4,Boys,11388
Bara,Narayani,Terai,Central,Grade 5,Girls,8993
Bara,Narayani,Terai,Central,Grade 5,Boys,8818
Bara,Narayani,Terai,Central,Grade 1-5,Girls,80652
Bara,Narayani,Terai,Central,Grade 1-5,Boys,83413
Bardiya,Bheri,Terai,Mid-Western,Grade 1,Girls,6867
Bardiya,Bheri,Terai,Mid-Western,Grade 1,Boys,7266
Bardiya,Bheri,Terai,Mid-Western,Grade 2,Girls,6346
Bardiya,Bheri,Terai,Mid-Western,Grade 2,Boys,6406
Bardiya,Bheri,Terai,Mid-Western,Grade 3,Girls,6700
Bardiya,Bheri,Terai,Mid-Western,Grade 3,Boys,6531
Bardiya,Bheri,Terai,Mid-Western,Grade 4,Girls,7008
Bardiya,Bheri,Terai,Mid-Western,Grade 4,Boys,6949
Bardiya,Bheri,Terai,Mid-Western,Grade 5,Girls,7110
Bardiya,Bheri,Terai,Mid-Western,Grade 5,Boys,6585
Bardiya,Bheri,Terai,Mid-Western,Grade 1-5,Girls,34031
Bardiya,Bheri,Terai,Mid-Western,Grade 1-5,Boys,33737
Bhaktapur,Bagmati,Hill,Central,Grade 1,Girls,3218
Bhaktapur,Bagmati,Hill,Central,Grade 1,Boys,3692
Bhaktapur,Bagmati,Hill,Central,Grade 2,Girls,3035
Bhaktapur,Bagmati,Hill,Central,Grade 2,Boys,3162
Bhaktapur,Bagmati,Hill,Central,Grade 3,Girls,3049
Bhaktapur,Bagmati,Hill,Central,Grade 3,Boys,3088
Bhaktapur,Bagmati,Hill,Central,Grade 4,Girls,3035
Bhaktapur,Bagmati,Hill,Central,Grade 4,Boys,3300
Bhaktapur,Bagmati,Hill,Central,Grade 5,Girls,2934
Bhaktapur,Bagmati,Hill,Central,Grade 5,Boys,3291
Bhaktapur,Bagmati,Hill,Central,Grade 1-5,Girls,15271
Bhaktapur,Bagmati,Hill,Central,Grade 1-5,Boys,16533
Bhojpur,Kosi,Hill,Eastern,Grade 1,Girls,4334
Bhojpur,Kosi,Hill,Eastern,Grade 1,Boys,4537
Bhojpur,Kosi,Hill,Eastern,Grade 2,Girls,3107
Bhojpur,Kosi,Hill,Eastern,Grade 2,Boys,3167
Bhojpur,Kosi,Hill,Eastern,Grade 3,Girls,2994
Bhojpur,Kosi,Hill,Eastern,Grade 3,Boys,2938
Bhojpur,Kosi,Hill,Eastern,Grade 4,Girls,2860
Bhojpur,Kosi,Hill,Eastern,Grade 4,Boys,2870
Bhojpur,Kosi,Hill,Eastern,Grade 5,Girls,2724
Bhojpur,Kosi,Hill,Eastern,Grade 5,Boys,2598
Bhojpur,Kosi,Hill,Eastern,Grade 1-5,Girls,16019
Bhojpur,Kosi,Hill,Eastern,Grade 1-5,Boys,16110
Chitawan,Narayani,Terai,Central,Grade 1,Girls,7905
Chitawan,Narayani,Terai,Central,Grade 1,Boys,8543
Chitawan,Narayani,Terai,Central,Grade 2,Girls,7290
Chitawan,Narayani,Terai,Central,Grade 2,Boys,7873
Chitawan,Narayani,Terai,Central,Grade 3,Girls,7404
Chitawan,Narayani,Terai,Central,Grade 3,Boys,7688
Chitawan,Narayani,Terai,Central,Grade 4,Girls,7509
Chitawan,Narayani,Terai,Central,Grade 4,Boys,8239
Chitawan,Narayani,Terai,Central,Grade 5,Girls,7299
Chitawan,Narayani,Terai,Central,Grade 5,Boys,7710
Chitawan,Narayani,Terai,Central,Grade 1-5,Girls,37407
Chitawan,Narayani,Terai,Central,Grade 1-5,Boys,40053
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1,Girls,3384
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1,Boys,3520
Dadeldhura,Mahakali,Hill,Far-Western,Grade 2,Girls,2738
Dadeldhura,Mahakali,Hill,Far-Western,Grade 2,Boys,2450
Dadeldhura,Mahakali,Hill,Far-Western,Grade 3,Girls,2637
Dadeldhura,Mahakali,Hill,Far-Western,Grade 3,Boys,2432
Dadeldhura,Mahakali,Hill,Far-Western,Grade 4,Girls,2716
Dadeldhura,Mahakali,Hill,Far-Western,Grade 4,Boys,2587
Dadeldhura,Mahakali,Hill,Far-Western,Grade 5,Girls,2544
Dadeldhura,Mahakali,Hill,Far-Western,Grade 5,Boys,2414
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1-5,Girls,14019
Dadeldhura,Mahakali,Hill,Far-Western,Grade 1-5,Boys,13403
Dailekh,Bheri,Hill,Mid-Western,Grade 1,Girls,9322
Dailekh,Bheri,Hill,Mid-Western,Grade 1,Boys,9377
Dailekh,Bheri,Hill,Mid-Western,Grade 2,Girls,6559
Dailekh,Bheri,Hill,Mid-Western,Grade 2,Boys,6180
Dailekh,Bheri,Hill,Mid-Western,Grade 3,Girls,6333
Dailekh,Bheri,Hill,Mid-Western,Grade 3,Boys,5857
Dailekh,Bheri,Hill,Mid-Western,Grade 4,Girls,5453
Dailekh,Bheri,Hill,Mid-Western,Grade 4,Boys,5006
Dailekh,Bheri,Hill,Mid-Western,Grade 5,Girls,5218
Dailekh,Bheri,Hill,Mid-Western,Grade 5,Boys,4719
Dailekh,Bheri,Hill,Mid-Western,Grade 1-5,Girls,32885
Dailekh,Bheri,Hill,Mid-Western,Grade 1-5,Boys,31139
Dang,Rapti,Terai,Mid-Western,Grade 1,Girls,9540
Dang,Rapti,Terai,Mid-Western,Grade 1,Boys,9438
Dang,Rapti,Terai,Mid-Western,Grade 2,Girls,8009
Dang,Rapti,Terai,Mid-Western,Grade 2,Boys,7640
Dang,Rapti,Terai,Mid-Western,Grade 3,Girls,8167
Dang,Rapti,Terai,Mid-Western,Grade 3,Boys,7827
Dang,Rapti,Terai,Mid-Western,Grade 4,Girls,7654
Dang,Rapti,Terai,Mid-Western,Grade 4,Boys,7312
Dang,Rapti,Terai,Mid-Western,Grade 5,Girls,7644
Dang,Rapti,Terai,Mid-Western,Grade 5,Boys,7020
Dang,Rapti,Terai,Mid-Western,Grade 1-5,Girls,41014
Dang,Rapti,Terai,Mid-Western,Grade 1-5,Boys,39237
Darchaula,Mahakali,Mountain,Far-Western,Grade 1,Girls,4927
Darchaula,Mahakali,Mountain,Far-Western,Grade 1,Boys,4675
Darchaula,Mahakali,Mountain,Far-Western,Grade 2,Girls,2496
Darchaula,Mahakali,Mountain,Far-Western,Grade 2,Boys,2300
Darchaula,Mahakali,Mountain,Far-Western,Grade 3,Girls,2472
Darchaula,Mahakali,Mountain,Far-Western,Grade 3,Boys,2154
Darchaula,Mahakali,Mountain,Far-Western,Grade 4,Girls,2336
Darchaula,Mahakali,Mountain,Far-Western,Grade 4,Boys,2089
Darchaula,Mahakali,Mountain,Far-Western,Grade 5,Girls,2262
Darchaula,Mahakali,Mountain,Far-Western,Grade 5,Boys,2098
Darchaula,Mahakali,Mountain,Far-Western,Grade 1-5,Girls,14493
Darchaula,Mahakali,Mountain,Far-Western,Grade 1-5,Boys,13316
Dhading,Bagmati,Hill,Central,Grade 1,Girls,7752
Dhading,Bagmati,Hill,Central,Grade 1,Boys,7922
Dhading,Bagmati,Hill,Central,Grade 2,Girls,5930
Dhading,Bagmati,Hill,Central,Grade 2,Boys,5961
Dhading,Bagmati,Hill,Central,Grade 3,Girls,5672
Dhading,Bagmati,Hill,Central,Grade 3,Boys,5594
Dhading,Bagmati,Hill,Central,Grade 4,Girls,5577
Dhading,Bagmati,Hill,Central,Grade 4,Boys,5301
Dhading,Bagmati,Hill,Central,Grade 5,Girls,5354
Dhading,Bagmati,Hill,Central,Grade 5,Boys,5051
Dhading,Bagmati,Hill,Central,Grade 1-5,Girls,30285
Dhading,Bagmati,Hill,Central,Grade 1-5,Boys,29829
Dhankuta,Kosi,Hill,Eastern,Grade 1,Girls,2680
Dhankuta,Kosi,Hill,Eastern,Grade 1,Boys,2857
Dhankuta,Kosi,Hill,Eastern,Grade 2,Girls,2344
Dhankuta,Kosi,Hill,Eastern,Grade 2,Boys,2311
Dhankuta,Kosi,Hill,Eastern,Grade 3,Girls,2389
Dhankuta,Kosi,Hill,Eastern,Grade 3,Boys,2334
Dhankuta,Kosi,Hill,Eastern,Grade 4,Girls,2376
Dhankuta,Kosi,Hill,Eastern,Grade 4,Boys,2335
Dhankuta,Kosi,Hill,Eastern,Grade 5,Girls,2377
Dhankuta,Kosi,Hill,Eastern,Grade 5,Boys,2291
Dhankuta,Kosi,Hill,Eastern,Grade 1-5,Girls,12166
Dhankuta,Kosi,Hill,Eastern,Grade 1-5,Boys,12128
Dhanusa,Janakpur,Terai,Central,Grade 1,Girls,16075
Dhanusa,Janakpur,Terai,Central,Grade 1,Boys,15571
Dhanusa,Janakpur,Terai,Central,Grade 2,Girls,15095
Dhanusa,Janakpur,Terai,Central,Grade 2,Boys,13792
Dhanusa,Janakpur,Terai,Central,Grade 3,Girls,12618
Dhanusa,Janakpur,Terai,Central,Grade 3,Boys,11520
Dhanusa,Janakpur,Terai,Central,Grade 4,Girls,10889
Dhanusa,Janakpur,Terai,Central,Grade 4,Boys,10135
Dhanusa,Janakpur,Terai,Central,Grade 5,Girls,9442
Dhanusa,Janakpur,Terai,Central,Grade 5,Boys,8719
Dhanusa,Janakpur,Terai,Central,Grade 1-5,Girls,64119
Dhanusa,Janakpur,Terai,Central,Grade 1-5,Boys,59737
Dolakha,Janakpur,Mountain,Central,Grade 1,Girls,5102
Dolakha,Janakpur,Mountain,Central,Grade 1,Boys,4831
Dolakha,Janakpur,Mountain,Central,Grade 2,Girls,3280
Dolakha,Janakpur,Mountain,Central,Grade 2,Boys,3052
Dolakha,Janakpur,Mountain,Central,Grade 3,Girls,3171
Dolakha,Janakpur,Mountain,Central,Grade 3,Boys,2962
Dolakha,Janakpur,Mountain,Central,Grade 4,Girls,3124
Dolakha,Janakpur,Mountain,Central,Grade 4,Boys,2925
Dolakha,Janakpur,Mountain,Central,Grade 5,Girls,3053
Dolakha,Janakpur,Mountain,Central,Grade 5,Boys,2820
Dolakha,Janakpur,Mountain,Central,Grade 1-5,Girls,17730
Dolakha,Janakpur,Mountain,Central,Grade 1-5,Boys,16590
Dolpa,Karnali,Mountain,Mid-Western,Grade 1,Girls,1255
Dolpa,Karnali,Mountain,Mid-Western,Grade 1,Boys,1107
Dolpa,Karnali,Mountain,Mid-Western,Grade 2,Girls,728
Dolpa,Karnali,Mountain,Mid-Western,Grade 2,Boys,641
Dolpa,Karnali,Mountain,Mid-Western,Grade 3,Girls,638
Dolpa,Karnali,Mountain,Mid-Western,Grade 3,Boys,578
Dolpa,Karnali,Mountain,Mid-Western,Grade 4,Girls,529
Dolpa,Karnali,Mountain,Mid-Western,Grade 4,Boys,485
Dolpa,Karnali,Mountain,Mid-Western,Grade 5,Girls,444
Dolpa,Karnali,Mountain,Mid-Western,Grade 5,Boys,487
Dolpa,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,3594
Dolpa,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,3298
Doti,Seti,Hill,Far-Western,Grade 1,Girls,8855
Doti,Seti,Hill,Far-Western,Grade 1,Boys,8192
Doti,Seti,Hill,Far-Western,Grade 2,Girls,4746
Doti,Seti,Hill,Far-Western,Grade 2,Boys,3984
Doti,Seti,Hill,Far-Western,Grade 3,Girls,3960
Doti,Seti,Hill,Far-Western,Grade 3,Boys,3546
Doti,Seti,Hill,Far-Western,Grade 4,Girls,3519
Doti,Seti,Hill,Far-Western,Grade 4,Boys,3218
Doti,Seti,Hill,Far-Western,Grade 5,Girls,2978
Doti,Seti,Hill,Far-Western,Grade 5,Boys,3022
Doti,Seti,Hill,Far-Western,Grade 1-5,Girls,24058
Doti,Seti,Hill,Far-Western,Grade 1-5,Boys,21962
Gorkha,Gandaki,Hill,Western,Grade 1,Girls,5583
Gorkha,Gandaki,Hill,Western,Grade 1,Boys,5350
Gorkha,Gandaki,Hill,Western,Grade 2,Girls,4627
Gorkha,Gandaki,Hill,Western,Grade 2,Boys,4674
Gorkha,Gandaki,Hill,Western,Grade 3,Girls,4750
Gorkha,Gandaki,Hill,Western,Grade 3,Boys,4609
Gorkha,Gandaki,Hill,Western,Grade 4,Girls,4686
Gorkha,Gandaki,Hill,Western,Grade 4,Boys,4487
Gorkha,Gandaki,Hill,Western,Grade 5,Girls,4577
Gorkha,Gandaki,Hill,Western,Grade 5,Boys,4221
Gorkha,Gandaki,Hill,Western,Grade 1-5,Girls,24223
Gorkha,Gandaki,Hill,Western,Grade 1-5,Boys,23341
Gulmi,Lumbini,Hill,Western,Grade 1,Girls,6765
Gulmi,Lumbini,Hill,Western,Grade 1,Boys,6975
Gulmi,Lumbini,Hill,Western,Grade 2,Girls,4619
Gulmi,Lumbini,Hill,Western,Grade 2,Boys,4838
Gulmi,Lumbini,Hill,Western,Grade 3,Girls,4751
Gulmi,Lumbini,Hill,Western,Grade 3,Boys,4716
Gulmi,Lumbini,Hill,Western,Grade 4,Girls,4531
Gulmi,Lumbini,Hill,Western,Grade 4,Boys,4207
Gulmi,Lumbini,Hill,Western,Grade 5,Girls,4333
Gulmi,Lumbini,Hill,Western,Grade 5,Boys,4129
Gulmi,Lumbini,Hill,Western,Grade 1-5,Girls,24999
Gulmi,Lumbini,Hill,Western,Grade 1-5,Boys,24865
Humla,Karnali,Mountain,Mid-Western,Grade 1,Girls,3922
Humla,Karnali,Mountain,Mid-Western,Grade 1,Boys,3406
Humla,Karnali,Mountain,Mid-Western,Grade 2,Girls,1130
Humla,Karnali,Mountain,Mid-Western,Grade 2,Boys,1066
Humla,Karnali,Mountain,Mid-Western,Grade 3,Girls,973
Humla,Karnali,Mountain,Mid-Western,Grade 3,Boys,900
Humla,Karnali,Mountain,Mid-Western,Grade 4,Girls,727
Humla,Karnali,Mountain,Mid-Western,Grade 4,Boys,817
Humla,Karnali,Mountain,Mid-Western,Grade 5,Girls,693
Humla,Karnali,Mountain,Mid-Western,Grade 5,Boys,742
Humla,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,7445
Humla,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,6931
Ilam,Mechi,Hill,Eastern,Grade 1,Girls,4453
Ilam,Mechi,Hill,Eastern,Grade 1,Boys,4464
Ilam,Mechi,Hill,Eastern,Grade 2,Girls,3687
Ilam,Mechi,Hill,Eastern,Grade 2,Boys,3543
Ilam,Mechi,Hill,Eastern,Grade 3,Girls,3695
Ilam,Mechi,Hill,Eastern,Grade 3,Boys,3608
Ilam,Mechi,Hill,Eastern,Grade 4,Girls,3668
Ilam,Mechi,Hill,Eastern,Grade 4,Boys,3641
Ilam,Mechi,Hill,Eastern,Grade 5,Girls,3653
Ilam,Mechi,Hill,Eastern,Grade 5,Boys,3652
Ilam,Mechi,Hill,Eastern,Grade 1-5,Girls,19156
Ilam,Mechi,Hill,Eastern,Grade 1-5,Boys,18908
Jajarkot,Bheri,Hill,Mid-Western,Grade 1,Girls,10644
Jajarkot,Bheri,Hill,Mid-Western,Grade 1,Boys,10131
Jajarkot,Bheri,Hill,Mid-Western,Grade 2,Girls,6211
Jajarkot,Bheri,Hill,Mid-Western,Grade 2,Boys,5787
Jajarkot,Bheri,Hill,Mid-Western,Grade 3,Girls,5589
Jajarkot,Bheri,Hill,Mid-Western,Grade 3,Boys,5025
Jajarkot,Bheri,Hill,Mid-Western,Grade 4,Girls,4480
Jajarkot,Bheri,Hill,Mid-Western,Grade 4,Boys,4104
Jajarkot,Bheri,Hill,Mid-Western,Grade 5,Girls,4298
Jajarkot,Bheri,Hill,Mid-Western,Grade 5,Boys,4034
Jajarkot,Bheri,Hill,Mid-Western,Grade 1-5,Girls,31222
Jajarkot,Bheri,Hill,Mid-Western,Grade 1-5,Boys,29081
Jhapa,Mechi,Terai,Eastern,Grade 1,Girls,12238
Jhapa,Mechi,Terai,Eastern,Grade 1,Boys,12610
Jhapa,Mechi,Terai,Eastern,Grade 2,Girls,9811
Jhapa,Mechi,Terai,Eastern,Grade 2,Boys,10118
Jhapa,Mechi,Terai,Eastern,Grade 3,Girls,9580
Jhapa,Mechi,Terai,Eastern,Grade 3,Boys,9287
Jhapa,Mechi,Terai,Eastern,Grade 4,Girls,9429
Jhapa,Mechi,Terai,Eastern,Grade 4,Boys,9440
Jhapa,Mechi,Terai,Eastern,Grade 5,Girls,9339
Jhapa,Mechi,Terai,Eastern,Grade 5,Boys,9079
Jhapa,Mechi,Terai,Eastern,Grade 1-5,Girls,50397
Jhapa,Mechi,Terai,Eastern,Grade 1-5,Boys,50534
Jumla,Karnali,Mountain,Mid-Western,Grade 1,Girls,5620
Jumla,Karnali,Mountain,Mid-Western,Grade 1,Boys,5294
Jumla,Karnali,Mountain,Mid-Western,Grade 2,Girls,2397
Jumla,Karnali,Mountain,Mid-Western,Grade 2,Boys,2139
Jumla,Karnali,Mountain,Mid-Western,Grade 3,Girls,2263
Jumla,Karnali,Mountain,Mid-Western,Grade 3,Boys,2052
Jumla,Karnali,Mountain,Mid-Western,Grade 4,Girls,1825
Jumla,Karnali,Mountain,Mid-Western,Grade 4,Boys,1873
Jumla,Karnali,Mountain,Mid-Western,Grade 5,Girls,1679
Jumla,Karnali,Mountain,Mid-Western,Grade 5,Boys,1610
Jumla,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,13784
Jumla,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,12968
Kailali,Seti,Terai,Far-Western,Grade 1,Girls,16304
Kailali,Seti,Terai,Far-Western,Grade 1,Boys,14786
Kailali,Seti,Terai,Far-Western,Grade 2,Girls,13235
Kailali,Seti,Terai,Far-Western,Grade 2,Boys,11474
Kailali,Seti,Terai,Far-Western,Grade 3,Girls,13473
Kailali,Seti,Terai,Far-Western,Grade 3,Boys,11629
Kailali,Seti,Terai,Far-Western,Grade 4,Girls,13185
Kailali,Seti,Terai,Far-Western,Grade 4,Boys,11990
Kailali,Seti,Terai,Far-Western,Grade 5,Girls,13303
Kailali,Seti,Terai,Far-Western,Grade 5,Boys,12051
Kailali,Seti,Terai,Far-Western,Grade 1-5,Girls,69500
Kailali,Seti,Terai,Far-Western,Grade 1-5,Boys,61930
Kalikot,Karnali,Mountain,Mid-Western,Grade 1,Girls,6316
Kalikot,Karnali,Mountain,Mid-Western,Grade 1,Boys,6262
Kalikot,Karnali,Mountain,Mid-Western,Grade 2,Girls,3310
Kalikot,Karnali,Mountain,Mid-Western,Grade 2,Boys,3149
Kalikot,Karnali,Mountain,Mid-Western,Grade 3,Girls,3162
Kalikot,Karnali,Mountain,Mid-Western,Grade 3,Boys,2750
Kalikot,Karnali,Mountain,Mid-Western,Grade 4,Girls,2898
Kalikot,Karnali,Mountain,Mid-Western,Grade 4,Boys,2458
Kalikot,Karnali,Mountain,Mid-Western,Grade 5,Girls,2617
Kalikot,Karnali,Mountain,Mid-Western,Grade 5,Boys,2404
Kalikot,Karnali,Mountain,Mid-Western,Grade 1-5,Girls,18303
Kalikot,Karnali,Mountain,Mid-Western,Grade 1-5,Boys,17023
Kanchanpur,Mahakali,Terai,Far-Western,Grade 2,Girls,6580
Kanchanpur,Mahakali,Terai,Far-Western,Grade 2,Boys,6545
Kanchanpur,Mahakali,Terai,Far-Western,Grade 3,Girls,6987
Kanchanpur,Mahakali,Terai,Far-Western,Grade 3,Boys,6480
Kanchanpur,Mahakali,Terai,Far-Western,Grade 4,Girls,7168
Kanchanpur,Mahakali,Terai,Far-Western,Grade 4,Boys,6651
Kanchanpur,Mahakali,Terai,Far-Western,Grade 5,Girls,7157
Kanchanpur,Mahakali,Terai,Far-Western,Grade 5,Boys,6457
Kanchanpur,Mahakali,Terai,Far-Western,Grade 1-5,Girls,34907
Kanchanpur,Mahakali,Terai,Far-Western,Grade 1-5,Boys,33069
Kapilbastu,Lumbini,Terai,Western,Grade 1,Girls,15324
Kapilbastu,Lumbini,Terai,Western,Grade 1,Boys,15822
Kapilbastu,Lumbini,Terai,Western,Grade 2,Girls,12243
Kapilbastu,Lumbini,Terai,Western,Grade 2,Boys,12398
Kapilbastu,Lumbini,Terai,Western,Grade 3,Girls,10075
Kapilbastu,Lumbini,Terai,Western,Grade 3,Boys,10620
Kapilbastu,Lumbini,Terai,Western,Grade 4,Girls,7807
Kapilbastu,Lumbini,Terai,Western,Grade 4,Boys,8522
Kapilbastu,Lumbini,Terai,Western,Grade 5,Girls,6593
Kapilbastu,Lumbini,Terai,Western,Grade 5,Boys,7243
Kapilbastu,Lumbini,Terai,Western,Grade 1-5,Girls,52042
Kapilbastu,Lumbini,Terai,Western,Grade 1-5,Boys,54605
Kaski,Gandaki,Hill,Western,Grade 1,Girls,6457
Kaski,Gandaki,Hill,Western,Grade 1,Boys,6833
Kaski,Gandaki,Hill,Western,Grade 2,Girls,5714
Kaski,Gandaki,Hill,Western,Grade 2,Boys,6199
Kaski,Gandaki,Hill,Western,Grade 3,Girls,6042
Kaski,Gandaki,Hill,Western,Grade 3,Boys,6317
Kaski,Gandaki,Hill,Western,Grade 4,Girls,6190
Kaski,Gandaki,Hill,Western,Grade 4,Boys,6561
Kaski,Gandaki,Hill,Western,Grade 5,Girls,6002
Kaski,Gandaki,Hill,Western,Grade 5,Boys,6493
Kaski,Gandaki,Hill,Western,Grade 1-5,Girls,30405
Kaski,Gandaki,Hill,Western,Grade 1-5,Boys,32403
Kathmandu,Bagmati,Hill,Central,Grade 1,Girls,17828
Kathmandu,Bagmati,Hill,Central,Grade 1,Boys,19061
Kathmandu,Bagmati,Hill,Central,Grade 2,Girls,15934
Kathmandu,Bagmati,Hill,Central,Grade 2,Boys,17353
Kathmandu,Bagmati,Hill,Central,Grade 3,Girls,15889
